,Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
386,Gomez,Liverpool,0,0,0,0,1,0,2,0,90
387,Henderson,Liverpool,0,1,0,0,2,1,3,0,6
388,Oxlade-Chamberlain,Liverpool,0,6,2,1,3,6,0,0,82
389,Robertson,Liverpool,0,4,0,0,3,13,1,0,90
390,Alexander-Arnold,Liverpool,0,2,1,0,0,25,4,0,90
391,"Lonergan

 (GK)",Liverpool,0,0,0,0,0,0,0,0,0
392,Fabinho,Liverpool,0,0,0,0,0,0,0,0,14
393,Milner,Liverpool,0,0,0,0,0,5,1,0,8
394,Minamino,Liverpool,0,0,0,0,0,2,0,0,7
395,Lallana,Liverpool,0,0,0,0,0,0,0,0,0
396,Origi,Liverpool,0,1,0,0,0,1,0,0,14
397,Matip,Liverpool,0,0,0,0,0,0,0,0,0
398,Jürgen Klopp,Liverpool(COACH),0,0,0,0,0,0,0,0,0
399,"Oblak

 (GK)",Atl�tico,0,0,0,0,0,0,0,0,90
400,Thomas,Atl�tico,0,0,0,0,4,0,2,0,90
401,Koke,Atl�tico,0,0,0,0,2,2,2,0,90
402,João Félix,Atl�tico,0,2,2,1,0,0,0,2,3
403,Saúl Ñíguez,Atl�tico,0,2,0,0,6,0,0,1,90
404,Correa,Atl�tico,0,1,1,0,0,0,5,0,6
405,Renan Lodi,Atl�tico,0,0,0,0,2,5,2,0,90
406,Savić,Atl�tico,0,0,0,0,0,0,1,0,90
407,Felipe,Atl�tico,0,1,0,0,3,0,2,0,90
408,Diego Costa,Atl�tico,0,1,0,0,0,0,1,0,56
409,Trippier,Atl�tico,0,0,0,0,1,0,1,0,91
410,"Adán

 (GK)",Atl�tico,0,0,0,0,0,0,0,0,0
411,Giménez,Atl�tico,0,0,0,0,0,0,0,0,9
412,Morata,Atl�tico,1,1,1,1,0,0,0,0,12
413,Lemar,Atl�tico,0,0,0,0,0,0,0,0,0
414,Llorente,Atl�tico,2,2,2,1,0,0,0,1,34
415,Carrasco,Atl�tico,0,0,0,0,0,0,0,0,0
416,Vrsaljko,Atl�tico,0,0,0,0,0,0,1,0,24
417,Diego Simeone,Atl�tico (COACH),0,0,0,0,0,0,0,0,0
418,"Navas

 (GK)",Paris,0,0,0,0,0,0,0,0,90
419,Kimpembe,Paris,0,0,0,0,2,0,1,0,90
420,Kehrer,Paris,0,0,0,0,1,0,1,0,90
421,Marquinhos,Paris,0,0,0,0,2,0,1,0,90
422,Paredes,Paris,0,0,0,0,1,0,2,0,115
423,Cavani,Paris,0,2,1,0,0,0,3,1,90
424,Neymar,Paris,1,2,1,0,0,4,0,0,90
425,Di María,Paris,0,1,1,1,0,4,0,0,79
426,Bernat,Paris,1,2,1,0,1,0,3,0,90
427,Sarabia,Paris,0,0,0,1,0,1,0,1,64
428,Gueye,Paris,0,0,0,0,1,1,2,0,90
429,"Rico

 (GK)",Paris,0,0,0,0,0,0,0,0,0
430,Mbappé,Paris,0,1,0,0,1,0,0,0,26
431,Icardi,Paris,0,0,0,0,0,0,0,0,0
432,Kurzawa,Paris,0,0,0,0,0,0,0,0,11
433,Diallo,Paris,0,0,0,0,0,0,0,0,0
434,Draxler,Paris,0,0,0,0,0,0,0,0,0
435,Kouassi,Paris,0,0,0,0,0,0,0,0,15
436,Thomas Tuchel,Paris(COACH),0,0,0,0,0,0,0,0,0
437,"Bürki

 (GK)",Dortmund,0,0,0,0,0,0,0,0,90
438,Zagadou,Dortmund,0,2,0,0,1,0,1,0,90
439,Hakimi,Dortmund,0,0,0,0,2,10,1,0,87
440,Sancho,Dortmund,0,3,2,0,0,3,0,0,90
441,Guerreiro,Dortmund,0,0,0,0,2,2,2,0,90
442,Hummels,Dortmund,0,0,0,0,1,0,1,0,90
443,Haaland,Dortmund,0,0,0,0,1,0,1,0,90
444,T. Hazard,Dortmund,0,2,0,0,0,0,4,0,68
445,Piszczek,Dortmund,0,0,0,0,2,2,1,0,90
446,Emre Can,Dortmund,0,1,0,0,1,1,3,0,90
447,Witsel,Dortmund,0,0,0,0,0,0,2,0,71
448,"Hitz

 (GK)",Dortmund,0,0,0,0,0,0,0,0,0
449,Dahoud,Dortmund,0,0,0,0,0,0,0,0,0
450,Götze,Dortmund,0,0,0,0,0,0,1,0,3
451,Akanji,Dortmund,0,0,0,0,0,0,0,0,0
452,Brandt,Dortmund,0,2,0,0,0,4,0,0,22
453,Schmelzer,Dortmund,0,0,0,0,0,0,0,0,0
454,Reyna,Dortmund,0,1,0,0,0,2,0,0,19
455,Lucien Favre,Dortmund(COACH),0,0,0,0,0,0,0,0,0
