,Player,Team,Goals,Shots,Shots_Target,Assists,Fouls,Interceptions,Crosses,Time
455,Davies,Bayern,1,1,1,0,1,1,1,90
456,Gnabry,Bayern,0,1,0,0,1,1,2,90
457,Müller,Bayern,0,1,0,0,1,1,2,90
458,Alaba,Bayern,0,1,0,0,1,1,2,90
459,Coman,Bayern,0,1,0,0,1,1,0,90
460,Kimmich,Bayern,0,1,0,0,1,1,1,69
461,"Ulreich

 (GK)",Bayern,0,0,0,0,0,0,0,0
462,Odriozola,Bayern,0,0,0,0,0,1,0,33
463,Coutinho,Bayern,0,1,0,0,0,0,0,35
464,Goretzka,Bayern,0,0,0,0,1,1,1,33
465,Hernández,Bayern,0,0,0,0,1,0,0,31
466,Tolisso,Bayern,0,0,0,0,0,0,0,28
467,Zirkzee,Bayern,0,0,0,0,0,0,0,19
468,"Ederson

 (GK)",Man. City,0,0,0,0,0,0,0,90
469,Walker,Man. City,0,1,0,0,1,2,0,90
470,Gündoğan,Man. City,0,1,0,0,1,1,1,68
471,Jesus,Man. City,0,1,0,0,1,1,1,90
472,Laporte,Man. City,1,2,1,0,1,1,2,90
473,Rodri,Man. City,0,1,0,0,1,1,1,90
474,De Bruyne,Man. City,0,1,0,0,1,1,2,90
475,Bernardo Silva,Man. City,0,1,0,0,1,1,2,90
476,B. Mendy,Man. City,0,1,0,0,1,1,1,90
477,Mahrez,Man. City,0,1,0,0,1,1,1,90
478,Otamendi,Man. City,0,1,0,0,1,1,1,68
479,"Bravo

 (GK)",Man. City,0,0,0,0,0,0,0,13
480,Sterling,Man. City,0,0,0,0,1,1,0,40
481,Agüero,Man. City,0,1,0,0,1,1,0,35
482,David Silva,Man. City,0,1,0,0,1,0,0,32
483,Fernandinho,Man. City,0,0,0,0,0,0,0,26
484,João Cancelo,Man. City,0,0,0,0,1,0,0,30
485,Foden,Man. City,0,0,0,0,0,0,0,22
486,"Navas

 (GK)",Paris,0,0,0,0,0,0,0,90
487,Kimpembe,Paris,0,0,0,0,1,1,1,90
488,Kehrer,Paris,0,1,0,0,1,1,1,90
489,Marquinhos,Paris,0,1,0,0,1,1,2,90
490,Paredes,Paris,1,2,1,2,1,1,1,90
491,Cavani,Paris,1,1,1,0,1,1,1,90
492,Neymar,Paris,0,1,0,0,1,1,2,90
493,Di María,Paris,0,1,0,0,1,1,2,90
494,Bernat,Paris,0,1,0,0,1,1,2,90
495,Sarabia,Paris,0,1,0,0,1,1,0,90
496,Gueye,Paris,0,1,0,0,1,1,1,69
497,"Rico

 (GK)",Paris,0,0,0,0,0,0,0,0
498,Mbappé,Paris,0,0,0,0,0,1,0,33
499,Icardi,Paris,0,1,0,0,0,0,0,35
500,Kurzawa,Paris,0,0,0,0,1,1,1,33
501,Diallo,Paris,0,0,0,0,1,0,0,31
502,Draxler,Paris,0,0,0,0,0,0,0,28
503,Kouassi,Paris,0,0,0,0,0,0,0,19
504,"Neuer

 (GK)",Bayern,0,0,0,0,0,0,0,90
505,Pavard,Bayern,0,1,0,0,1,2,0,90
506,Thiago Alcántara,Bayern,0,1,0,0,1,1,1,69
507,Lewandowski,Bayern,1,1,0,0,1,1,1,90
508,Boateng,Bayern,1,2,1,0,1,1,2,90
509,Davies,Bayern,0,1,1,0,1,1,1,90
510,Gnabry,Bayern,0,1,0,0,1,1,2,90
511,Müller,Bayern,0,1,0,0,1,1,2,90
512,Alaba,Bayern,0,1,0,0,1,1,1,90
513,Coman,Bayern,0,1,0,0,1,1,1,90
514,Kimmich,Bayern,0,1,0,0,1,1,1,68
515,"Ulreich

 (GK)",Bayern,0,0,0,0,0,0,0,13
516,Odriozola,Bayern,0,0,0,0,1,1,0,39
517,Coutinho,Bayern,0,1,0,0,1,1,0,35
518,Goretzka,Bayern,0,1,0,0,1,0,0,32
519,Hernández,Bayern,0,0,0,0,0,0,0,26
520,Tolisso,Bayern,0,0,0,0,1,0,0,30
521,Zirkzee,Bayern,0,0,0,0,0,0,0,22
522,"Ter Stegen

 (GK)",Barcelona,0,0,0,0,0,0,0,90
523,Semedo,Barcelona,0,0,0,0,1,1,1,90
524,Piqué,Barcelona,0,1,0,0,1,1,1,90
525,Rakitić,Barcelona,0,1,0,0,1,1,2,90
526,Sergio Busquets,Barcelona,1,2,1,2,1,1,1,90
527,Messi,Barcelona,1,1,1,0,1,1,1,90
528,Griezmann,Barcelona,0,1,0,0,1,1,2,90
529,F. de Jong,Barcelona,0,1,0,0,1,1,2,90
530,Vidal,Barcelona,0,1,0,0,1,1,2,90
531,Umtiti,Barcelona,0,1,0,0,1,1,0,90
532,Junior Firpo,Barcelona,0,1,0,0,1,1,1,69
533,"Neto

 (GK)",Barcelona,0,0,0,0,0,0,0,0
534,Arthur,Barcelona,0,0,0,0,0,1,0,33
535,Lenglet,Barcelona,0,1,0,0,0,0,0,35
536,Ricard Puig,Barcelona,0,0,0,0,1,1,1,34
537,Fati,Barcelona,0,0,0,0,1,0,0,31
538,Ronald Araújo,Barcelona,0,0,0,0,0,0,0,28
539,Akieme,Barcelona,0,0,0,0,0,0,0,19
540,"Navas

 (GK)",Paris,0,0,0,0,0,0,0,90
541,Kimpembe,Paris,0,1,0,0,1,2,0,90
542,Kehrer,Paris,0,1,0,0,1,1,1,68
543,Marquinhos,Paris,1,1,0,0,1,1,1,90
544,Paredes,Paris,1,2,1,0,1,1,2,90
545,Cavani,Paris,0,1,0,0,1,1,1,90
546,Neymar,Paris,0,1,0,0,1,1,2,90
547,Di María,Paris,0,1,0,0,1,1,2,90
548,Bernat,Paris,0,1,0,0,1,1,1,90
549,Sarabia,Paris,0,1,0,0,1,1,1,90
550,Gueye,Paris,0,1,0,0,1,1,1,68
551,"Rico

 (GK)",Paris,0,0,0,0,0,0,0,13
552,Mbappé,Paris,0,0,0,0,1,1,0,39
553,Icardi,Paris,0,1,0,0,1,1,0,35
554,Kurzawa,Paris,0,1,0,0,1,0,0,32
555,Diallo,Paris,0,0,0,0,0,0,0,26
556,Draxler,Paris,0,0,0,0,1,0,0,30
557,Kouassi,Paris,0,0,0,0,0,0,0,22
558,"Ederson

 (GK)",Man. City,0,0,0,0,0,0,0,90
559,Walker,Man. City,0,0,0,0,1,1,1,90
560,Gündoğan,Man. City,0,1,0,0,1,1,1,90
561,Jesus,Man. City,0,1,0,0,1,1,2,90
562,Laporte,Man. City,1,2,1,1,1,1,1,90
563,Rodri,Man. City,0,1,1,0,1,1,1,90
564,De Bruyne,Man. City,0,1,0,0,1,1,2,90
565,Bernardo Silva,Man. City,0,1,0,0,1,1,2,90
566,B. Mendy,Man. City,0,1,0,0,1,1,2,90
567,Mahrez,Man. City,0,1,0,0,1,1,0,90
568,Otamendi,Man. City,0,1,0,0,1,1,1,69
569,"Bravo

 (GK)",Man. City,0,0,0,0,0,0,0,0
570,Sterling,Man. City,0,0,0,0,0,1,0,33
571,Agüero,Man. City,0,1,0,0,0,0,0,35
572,David Silva,Man. City,0,0,0,0,1,1,1,33
573,Fernandinho,Man. City,0,0,0,0,1,0,0,31
574,João Cancelo,Man. City,0,0,0,0,0,0,0,28
575,Foden,Man. City,0,0,0,0,0,0,0,19
576,"Neuer

 (GK)",Bayern,0,0,0,0,0,0,0,60
577,Pavard,Bayern,0,0,0,0,1,1,0,59
578,Thiago Alcántara,Bayern,0,1,0,0,0,1,0,49
579,Lewandowski,Bayern,2,1,1,0,0,1,0,66
580,Boateng,Bayern,0,2,1,2,1,1,1,90
581,Davies,Bayern,0,1,0,0,1,1,1,67
582,Gnabry,Bayern,0,0,0,0,1,1,1,63
583,Müller,Bayern,0,1,1,0,1,1,3,69
584,Alaba,Bayern,0,1,0,0,2,2,0,58
585,Coman,Bayern,0,0,0,0,1,1,0,69
586,Kimmich,Bayern,0,2,0,0,1,1,2,67
587,"Ulreich

 (GK)",Bayern,0,0,0,0,0,0,0,18
588,Odriozola,Bayern,0,0,0,0,0,0,0,24
589,Coutinho,Bayern,0,1,0,0,1,0,0,45
590,Goretzka,Bayern,0,0,0,0,0,0,0,23
591,Hernández,Bayern,0,0,0,0,0,0,0,5
592,Tolisso,Bayern,0,0,0,0,0,0,0,27
593,Zirkzee,Bayern,0,0,0,0,0,1,1,38
594,"Navas

 (GK)",Paris,0,0,0,0,0,0,0,61
595,Kimpembe,Paris,0,1,0,0,1,1,0,90
596,Kehrer,Paris,0,0,0,0,1,1,0,56
597,Marquinhos,Paris,0,0,0,0,1,1,3,67
598,Paredes,Paris,0,2,1,1,1,0,0,90
599,Cavani,Paris,1,2,1,0,1,1,1,61
600,Neymar,Paris,0,1,1,0,1,0,0,60
601,Di María,Paris,0,1,0,0,1,1,0,67
602,Bernat,Paris,0,1,0,0,1,2,0,90
603,Sarabia,Paris,0,1,0,0,1,1,0,61
604,Gueye,Paris,0,0,0,0,1,1,2,64
605,"Rico

 (GK)",Paris,0,0,0,0,0,0,0,0
606,Mbappé,Paris,0,0,0,0,1,1,0,34
607,Icardi,Paris,0,0,0,0,0,0,0,33
608,Kurzawa,Paris,0,0,0,0,0,0,0,21
609,Diallo,Paris,0,0,1,0,0,0,0,25
610,Draxler,Paris,0,0,0,0,0,0,0,19
611,Kouassi,Paris,0,0,0,0,0,0,0,21
