Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","Arena AufSchalke, Gelsenkirchen","Arena Lviv, Lviv","Arsenal Stadium, London","BVB Stadion Dortmund, Dortmund","BayArena, Leverkusen","Beşiktaş Park, Istanbul","Camp Nou, Barcelona","Camp de Mestalla, Valencia","City of Manchester Stadium, Manchester","Estadio Metropolitano, Madrid","Estadio Ramón Sánchez-Pizjuán, Seville","Estadio Santiago Bernabéu, Madrid","Estadio Vicente Calderón, Madrid","Estádio do Dragão, Porto","Estádio do Sport Lisboa e Benfica, Lisbon","Football Arena Munich, Munich","Johan Cruijff ArenA, Amsterdam","Juventus Stadium, Turin","KAA Gent Stadium, Ghent","King Power Stadium, Leicester","NSK Olimpiyskyi, Kyiv","OL Stadium, Décines","OSK Metalist Stadion, Kharkiv","Old Trafford, Manchester","Olympiastadion, Berlin","PSV Stadion, Eindhoven","Parc des Princes, Paris","Principality Stadium, Cardiff","RB Arena, Leipzig","St. Jakob-Park, Basel","Stade Louis II, Monaco","Stadio Olimpico, Rome","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stadion Petrovskiy, St Petersburg","Stamford Bridge, London","Tottenham Hotspur Stadium, London","VfL Wolfsburg Arena, Wolfsburg","Wembley Stadium, London",Home_Game,Form_index
Real Madrid,0.14285714285714285,0.5945945945945946,0.6153846153846154,0.7333333333333333,0.3333333333333333,0.25,0.625,0.0,0.7954545454545455,0.3758099352051837,0.990824651737106,0.4013452914798206,0.12676056338028194,0.3278688524590164,0.2727272727272727,0.4313725490196078,0.16666666666666666,0.25,0.0,0.5217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Atlético,0.0,0.3783783783783783,0.15384615384615385,0.7333333333333333,0.16666666666666666,0.125,0.625,0.0,0.20454545454545459,0.1025917926565875,0.46414332939238356,0.09641255605381166,0.17527386541471054,0.24590163934426235,0.36363636363636365,0.3529411764705882,0.3333333333333333,0.5,1.0,0.39130434782608703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
Monaco,0.0,0.29729729729729726,0.07692307692307693,0.4666666666666667,0.3333333333333333,0.0,0.375,0.2222222222222222,0.6136363636363636,0.3347732181425487,0.6750644546575502,0.3161434977578475,0.26604068857589985,0.639344262295082,0.2727272727272727,0.1568627450980392,0.08333333333333333,0.25,0.0,0.4782608695652175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
Juventus,0.0,0.21621621621621617,0.07692307692307693,0.4666666666666667,0.08333333333333333,0.06666666666666667,0.375,0.1111111111111111,0.38636363636363635,0.23866090712742985,0.512630188660852,0.21300448430493274,0.35993740219092335,0.6065573770491803,0.2727272727272727,0.3137254901960784,0.3333333333333333,0.25,0.0,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Barcelona,0.2857142857142857,0.27027027027027023,0.46153846153846156,0.26666666666666666,0.08333333333333333,0.07133333333333333,0.3125,0.1111111111111111,0.5909090909090909,0.6166306695464364,0.9073740848028593,0.6143497757847534,0.3302034428794995,0.3278688524590164,0.0,0.09803921568627451,0.25,0.0,0.0,0.3478260869565218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Paris,0.0,0.21621621621621617,0.15384615384615385,0.26666666666666666,0.25,0.11,0.3125,0.4444444444444444,0.40909090909090906,0.43520518358531324,0.8289229895223378,0.43049327354260086,0.269170579029734,0.5245901639344263,0.6363636363636364,0.1176470588235294,0.08333333333333333,0.125,0.0,0.5652173913043479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bayern,0.8571428571428571,0.5405405405405405,0.7692307692307693,0.3333333333333333,0.5,0.11,0.25,0.0,0.5681818181818182,0.35853131749460054,0.7304582812121092,0.3452914798206278,0.3145539906103289,0.6065573770491803,0.18181818181818182,0.09803921568627451,0.0,0.125,0.0,0.6956521739130436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20000000000000007
Porto,0.14285714285714285,0.13513513513513511,0.07692307692307693,0.3333333333333333,0.0,0.0,0.25,0.1111111111111111,0.43181818181818177,0.28077753779697623,0.7017098406425397,0.27242152466367714,0.2848200312989046,0.47540983606557385,0.09090909090909091,0.3529411764705882,0.5,0.625,1.0,0.6956521739130436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
Porto,0.42857142857142855,0.16216216216216214,0.38461538461538464,0.13333333333333333,0.0,0.0,0.1875,0.1111111111111111,0.2272727272727273,0.11771058315334773,0.5442070359535851,0.11547085201793722,0.30829420970266036,0.5245901639344263,0.36363636363636365,0.4901960784313726,0.08333333333333333,0.375,0.0,0.5652173913043479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6000000000000001
Bayern,0.14285714285714285,0.13513513513513511,0.23076923076923078,0.13333333333333333,0.08333333333333333,0.11,0.1875,0.1111111111111111,0.7727272727272728,0.4989200863930886,0.8577261872498267,0.4943946188340807,0.2472613458528951,0.3606557377049181,0.2727272727272727,0.09803921568627451,0.0,0.5,0.0,0.8260869565217394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Paris,0.14285714285714285,0.18918918918918914,0.3076923076923077,0.06666666666666667,0.25,0.11,0.25,0.6666666666666666,0.20454545454545459,0.24946004319654433,0.7630209869340776,0.2522421524663677,0.21596244131455394,0.3278688524590164,0.2727272727272727,0.09803921568627451,0.16666666666666666,0.125,0.0,0.3043478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30000000000000004
Barcelona,0.42857142857142855,0.21621621621621617,0.46153846153846156,0.06666666666666667,0.16666666666666666,0.07133333333333333,0.25,0.1111111111111111,0.7954545454545455,0.6565874730021599,0.9195307337846157,0.6547085201793721,0.25039123630672927,0.37704918032786894,0.4545454545454546,0.09803921568627451,0.25,0.25,0.0,0.39130434782608703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Juventus,0.14285714285714285,0.3243243243243243,0.38461538461538464,0.4666666666666667,0.08333333333333333,0.06666666666666667,0.375,0.2222222222222222,0.7272727272727274,0.47732181425485964,0.8323244778238594,0.4697309417040359,0.30203442879499204,0.4426229508196722,0.6363636363636364,0.07843137254901962,0.16666666666666666,0.0,0.0,0.17391304347826092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
Monaco,0.0,0.3513513513513513,0.38461538461538464,0.4666666666666667,0.16666666666666666,0.0,0.375,0.0,0.2727272727272728,0.1673866090712743,0.5659679408138087,0.15919282511210764,0.21283255086072,0.47540983606557385,0.2727272727272727,0.2745098039215686,0.08333333333333333,0.125,0.0,0.5217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Atlético,0.0,0.18918918918918914,0.15384615384615385,0.2,0.25,0.125,0.4375,0.0,0.31818181818181823,0.1598272138228942,0.3402782918405367,0.1311659192825112,0.23787167449139285,0.37704918032786894,0.36363636363636365,0.3137254901960784,0.41666666666666663,0.375,0.0,0.6956521739130436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Real Madrid,0.0,0.4054054054054053,0.6153846153846154,0.2,0.41666666666666663,0.25,0.4375,0.0,0.6818181818181818,0.40820734341252707,0.6938250351626629,0.38340807174887886,0.13302034428794982,0.39344262295081966,0.2727272727272727,0.3137254901960784,0.25,0.25,0.0,0.3478260869565218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000002
Dortmund,0.0,0.2432432432432432,0.15384615384615385,0.2,0.41666666666666663,0.11,0.3125,0.3333333333333333,0.6136363636363636,0.4222462203023759,0.8328764610571593,0.41928251121076227,0.35993740219092335,0.4918032786885247,0.4545454545454546,0.058823529411764705,0.16666666666666666,0.125,0.0,0.17391304347826092,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20000000000000007
Juventus,0.42857142857142855,0.27027027027027023,0.46153846153846156,0.2,0.16666666666666666,0.06666666666666667,0.3125,0.2222222222222222,0.38636363636363635,0.3110151187904968,0.8090712802185482,0.3139013452914798,0.38654147104851344,0.3606557377049181,0.18181818181818182,0.3137254901960784,0.41666666666666663,0.0,0.0,0.3043478260869566,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Barcelona,0.14285714285714285,0.5945945945945946,0.8461538461538463,0.6,0.25,0.07133333333333333,0.4375,0.3333333333333333,0.6818181818181818,0.43196544276457893,0.6897326827886872,0.40358744394618834,0.2895148669796556,0.2622950819672132,0.0,0.3137254901960784,0.5,0.125,0.0,0.13043478260869568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Man. City,0.0,0.5135135135135135,0.3076923076923077,0.6,0.5833333333333333,0.06666666666666667,0.4375,0.0,0.31818181818181823,0.2397408207343413,0.5809017475390559,0.22197309417040356,0.2472613458528951,0.3278688524590164,0.0,0.23529411764705882,0.3333333333333333,0.625,0.0,0.39130434782608703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000007
Atlético,0.14285714285714285,0.29729729729729726,0.38461538461538464,0.26666666666666666,0.25,0.125,0.6875,0.4444444444444444,0.6136363636363636,0.17926565874730024,0.2570199529200772,0.13789237668161436,0.8497652582159625,1.0,0.0,0.2941176470588235,0.08333333333333333,0.5,0.0,0.3043478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Leverkusen,0.0,0.18918918918918914,0.23076923076923078,0.26666666666666666,0.08333333333333333,0.0,0.6875,0.1111111111111111,0.38636363636363635,0.2429805615550756,0.2380090215236681,0.18385650224215244,0.8904538341158057,0.918032786885246,0.0,0.6666666666666666,0.25,0.75,0.0,0.9565217391304349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Monaco,0.0,0.05405405405405404,0.0,0.06666666666666667,0.16666666666666666,0.0,0.0,0.4444444444444444,0.25,0.11987041036717064,0.6022221149584674,0.12219730941704032,0.2895148669796556,0.6885245901639345,0.0,0.6274509803921569,0.3333333333333333,0.125,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Arsenal,0.2857142857142857,0.29729729729729726,0.5384615384615385,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.2222222222222222,0.7500000000000001,0.5766738660907128,0.9044962855774417,0.5762331838565022,0.29264475743349,0.6885245901639345,0.0,0.0196078431372549,0.16666666666666666,0.125,0.0,0.3478260869565218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Bayern,1.0,0.6486486486486486,1.0,0.5333333333333333,0.3333333333333333,0.11,0.5,0.2222222222222222,0.8409090909090909,0.5323974082073435,1.0,0.553811659192825,0.23161189358372453,0.1311475409836066,0.0,0.07843137254901962,0.08333333333333333,0.25,0.0,0.5217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Shakhtar Donetsk,0.0,0.21621621621621617,0.0,0.5333333333333333,0.08333333333333333,0.0,0.5,0.2222222222222222,0.15909090909090917,0.03563714902807777,0.6593525102390263,0.0538116591928251,0.0782472613458529,0.0,0.18181818181818182,0.39215686274509803,0.3333333333333333,0.125,1.0,0.08695652173913045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
Chelsea,0.2857142857142857,0.3513513513513513,0.46153846153846156,0.2,0.41666666666666663,0.6666666666666666,0.4375,0.2222222222222222,0.5227272727272728,0.4546436285097193,0.923894853698882,0.46524663677130046,0.7480438184663535,0.4918032786885247,0.2727272727272727,0.39215686274509803,0.3333333333333333,0.375,0.0,0.9130434782608697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6000000000000001
Paris,0.2857142857142857,0.3243243243243243,0.46153846153846156,0.2,0.3333333333333333,0.11,0.4375,0.5555555555555556,0.4772727272727274,0.46868250539956813,0.9004414021235694,0.47421524663677134,0.6651017214397498,0.639344262295082,0.36363636363636365,0.3333333333333333,0.41666666666666663,0.5,1.0,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
