Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
Fábio Coentrão,Real Madrid,0,0,0,0,0,0,0,0,0
Hernández,Real Madrid,0,0,0,0,0,0,0,0,23
Arbeloa,Real Madrid,0,0,0,0,0,0,0,0,0
Jesé,Real Madrid,0,0,0,0,0,0,0,0,0
Illarramendi,Real Madrid,0,0,0,0,0,0,0,0,0
Carlo Ancelotti,Real Madrid(COACH),0,0,0,0,0,0,0,0,0
"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,90
Chiellini,Juventus,0,0,0,0,0,0,0,0,90
Pogba,Juventus,0,0,0,1,0,0,0,0,89
Marchisio,Juventus,0,0,0,0,0,0,0,0,90
Morata,Juventus,1,0,0,0,0,0,0,0,84
Tévez,Juventus,0,0,0,0,0,0,0,0,90
Bonucci,Juventus,0,0,0,0,0,0,0,0,90
Pirlo,Juventus,0,0,0,0,0,0,0,0,79
Vidal,Juventus,0,0,0,0,0,0,0,0,90
Lichtsteiner,Juventus,0,0,0,0,0,0,0,0,90
Evra,Juventus,0,0,0,0,0,0,0,0,90
"Storari
 (GK)",Juventus,0,0,0,0,0,0,0,0,0
Coman,Juventus,0,0,0,0,0,0,0,0,0
Llorente,Juventus,0,0,0,0,0,0,0,0,6
Barzagli,Juventus,0,0,0,0,0,0,0,0,11
Padoin,Juventus,0,0,0,0,0,0,0,0,0
Sturaro,Juventus,0,0,0,0,0,0,0,0,0
Pereyra,Juventus,0,0,0,0,0,0,0,0,1
Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0
"Neuer
 (GK)",Bayern,0,0,0,0,0,0,0,0,90
Xabi Alonso,Bayern,0,0,0,0,0,0,0,0,90
Benatia,Bayern,1,0,0,0,0,0,0,0,90
Thiago Alcántara,Bayern,0,0,0,0,0,0,0,0,90
Lewandowski,Bayern,1,0,0,0,0,0,0,0,90
Rafinha,Bayern,0,0,0,0,0,0,0,0,90
Boateng,Bayern,0,0,0,0,0,0,0,0,90
Bernat,Bayern,0,0,0,0,0,0,0,0,90
Lahm,Bayern,0,0,0,0,0,0,0,0,68
Müller,Bayern,1,0,0,0,0,0,0,0,87
Schweinsteiger,Bayern,0,0,0,2,0,0,0,0,87
"Reina
 (GK)",Bayern,0,0,0,0,0,0,0,0,0
Dante,Bayern,0,0,0,0,0,0,0,0,0
Javi Martínez,Bayern,0,0,0,0,0,0,0,0,3
Pizarro,Bayern,0,0,0,1,0,0,0,0,0
Götze,Bayern,0,0,0,0,0,0,0,0,3
Rode,Bayern,0,0,0,0,0,0,0,0,22
Weiser,Bayern,0,0,0,0,0,0,0,0,0
Josep Guardiola,Bayern(COACH),0,0,0,0,0,0,0,0,0
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,90
Piqué,Barcelona,0,0,0,0,0,0,0,0,90
Rakitić,Barcelona,0,0,0,0,0,0,0,0,72
Sergio Busquets,Barcelona,0,0,0,0,0,0,0,0,90
Iniesta,Barcelona,0,0,0,0,0,0,0,0,75
Luis Suárez,Barcelona,0,0,0,2,0,0,0,0,46
Messi,Barcelona,0,0,0,0,0,0,0,0,90
Neymar,Barcelona,2,0,0,0,0,0,0,0,90
Mascherano,Barcelona,0,0,0,0,0,0,0,0,90
Jordi Alba,Barcelona,0,0,0,0,0,0,0,0,90
Dani Alves,Barcelona,0,0,0,0,0,0,0,0,90
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0
Xavi Hernández,Barcelona,0,0,0,0,0,0,0,0,15
Pedro Rodríguez,Barcelona,0,0,0,0,0,0,0,0,44
Rafinha,Bayern,0,0,0,0,0,0,0,0,0
Bartra,Barcelona,0,0,0,0,0,0,0,0,0
Adriano,Barcelona,0,0,0,0,0,0,0,0,0
Mathieu,Barcelona,0,0,0,0,0,0,0,0,18
Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,90
Piqué,Barcelona,0,0,0,0,0,0,0,0,90
Rakitić,Barcelona,0,0,0,1,0,0,0,0,82
Sergio Busquets,Barcelona,0,0,0,0,0,0,0,0,90
Iniesta,Barcelona,0,0,0,0,0,0,0,0,87
Luis Suárez,Barcelona,0,0,0,0,0,0,0,0,90
Messi,Barcelona,2,0,0,1,0,0,0,0,90
Neymar,Barcelona,1,0,0,0,0,0,0,0,90
Mascherano,Barcelona,0,0,0,0,0,0,0,0,89
Jordi Alba,Barcelona,0,0,0,0,0,0,0,0,90
Dani Alves,Barcelona,0,0,0,1,0,0,0,0,90
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0
Xavi Hernández,Barcelona,0,0,0,0,0,0,0,0,8
Pedro Rodríguez,Barcelona,0,0,0,0,0,0,0,0,0
Rafinha,Barcelona,0,0,0,0,0,0,0,0,3
Bartra,Barcelona,0,0,0,0,0,0,0,0,1
Adriano,Barcelona,0,0,0,0,0,0,0,0,0
Vermaelen,Barcelona,0,0,0,0,0,0,0,0,0
Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0
"Neuer
 (GK)",Bayern,0,0,0,0,0,0,0,0,90
Xabi Alonso,Bayern,0,0,0,0,0,0,0,0,90
Benatia,Bayern,0,0,0,0,0,0,0,0,90
Thiago Alcántara,Bayern,0,0,0,0,0,0,0,0,90
Lewandowski,Bayern,0,0,0,0,0,0,0,0,90
Rafinha,Barcelona,0,0,0,0,0,0,0,0,90
Boateng,Bayern,0,0,0,0,0,0,0,0,90
Bernat,Bayern,0,0,0,0,0,0,0,0,90
Lahm,Bayern,0,0,0,0,0,0,0,0,90
Müller,Bayern,0,0,0,0,0,0,0,0,79
Schweinsteiger,Bayern,0,0,0,0,0,0,0,0,90
"Reina
 (GK)",Bayern,0,0,0,0,0,0,0,0,0
Dante,Bayern,0,0,0,0,0,0,0,0,0
Javi Martínez,Bayern,0,0,0,0,0,0,0,0,0
Pizarro,Bayern,0,0,0,0,0,0,0,0,0
Gaudino,Bayern,0,0,0,0,0,0,0,0,0
Götze,Bayern,0,0,0,0,0,0,0,0,11
Weiser,Bayern,0,0,0,0,0,0,0,0,0
Josep Guardiola,Bayern(COACH),0,0,0,0,0,0,0,0,0
"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,90
Chiellini,Juventus,0,0,0,0,0,0,0,0,90
Marchisio,Juventus,0,0,0,0,0,0,0,0,90
Morata,Juventus,1,0,0,0,0,0,0,0,78
Tévez,Juventus,1,0,0,1,0,0,0,0,86
Bonucci,Juventus,0,0,0,0,0,0,0,0,90
Pirlo,Juventus,0,0,0,0,0,0,0,0,90
Vidal,Juventus,0,0,0,0,0,0,0,0,90
Lichtsteiner,Juventus,0,0,0,0,0,0,0,0,90
Sturaro,Juventus,0,0,0,0,0,0,0,0,64
Evra,Juventus,0,0,0,0,0,0,0,0,90
"Storari
 (GK)",Juventus,0,0,0,0,0,0,0,0,0
Pepe,Juventus,0,0,0,0,0,0,0,0,0
Llorente,Juventus,0,0,0,0,0,0,0,0,12
Barzagli,Juventus,0,0,0,0,0,0,0,0,26
Padoin,Juventus,0,0,0,0,0,0,0,0,0
Matri,Juventus,0,0,0,0,0,0,0,0,0
Pereyra,Juventus,0,0,0,0,0,0,0,0,4
Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0
"Casillas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,90
Varane,Real Madrid,0,0,0,0,0,0,0,0,90
Pepe,Juventus,0,0,0,0,0,0,0,0,90
Ramos,Real Madrid,0,0,0,0,0,0,0,0,90
Ronaldo,Real Madrid,1,0,0,0,0,0,0,0,90
Kroos,Real Madrid,0,0,0,0,0,0,0,0,90
James Rodríguez,Real Madrid,0,0,0,1,0,0,0,0,90
Bale,Real Madrid,0,0,0,0,0,0,0,0,86
Marcelo,Real Madrid,0,0,0,0,0,0,0,0,90
Carvajal,Real Madrid,0,0,0,0,0,0,0,0,90
Isco,Real Madrid,0,0,0,0,0,0,0,0,63
"Navas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0
Fábio Coentrão,Real Madrid,0,0,0,0,0,0,0,0,0
Hernández,Real Madrid,0,0,0,0,0,0,0,0,27
Lucas Silva,Real Madrid,0,0,0,0,0,0,0,0,0
Arbeloa,Real Madrid,0,0,0,0,0,0,0,0,0
Jesé,Real Madrid,0,0,0,0,0,0,0,0,4
Illarramendi,Real Madrid,0,0,0,0,0,0,0,0,0
Carlo Ancelotti,Real Madrid(COACH),0,0,0,0,0,0,0,0,0
"Casillas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,90
Varane,Real Madrid,0,0,0,0,0,0,0,0,90
Pepe,Real Madrid,0,0,0,0,0,0,0,0,90
Ramos,Real Madrid,0,0,0,0,0,0,0,0,90
Fábio Coentrão,Real Madrid,0,0,0,0,0,0,0,0,90
Ronaldo,Real Madrid,0,0,0,1,0,0,0,0,90
Kroos,Real Madrid,0,0,0,0,0,0,0,0,90
James Rodríguez,Real Madrid,0,0,0,0,0,0,0,0,90
Hernández,Real Madrid,1,0,0,0,0,0,0,0,90
Carvajal,Real Madrid,0,0,0,0,0,0,0,0,90
Isco,Real Madrid,0,0,0,0,0,0,0,0,90
"Navas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0
Khedira,Real Madrid,0,0,0,0,0,0,0,0,0
Lucas Silva,Real Madrid,0,0,0,0,0,0,0,0,0
Arbeloa,Real Madrid,0,0,0,0,0,0,0,0,2
Nacho,Real Madrid,0,0,0,0,0,0,0,0,0
Jesé,Real Madrid,0,0,0,0,0,0,0,0,3
Illarramendi,Real Madrid,0,0,0,0,0,0,0,0,0
Carlo Ancelotti,Real Madrid(COACH),0,0,0,0,0,0,0,0,0
"Oblak
 (GK)",Atlético,0,0,0,0,0,0,0,0,90
Godín,Atlético,0,0,0,0,0,0,0,0,90
Tiago,Atlético,0,0,0,0,0,0,0,0,86
Koke,Atlético,0,0,0,0,0,0,0,0,90
Griezmann,Atlético,0,0,0,0,0,0,0,0,65
Mandžukić,Atlético,0,0,0,0,0,0,0,0,90
Arda Turan,Atlético,0,0,0,0,0,0,0,0,90
Saúl Ñíguez,Atlético,0,0,0,0,0,0,0,0,46
Gámez,Atlético,0,0,0,0,0,0,0,0,90
Juanfran,Atlético,0,0,0,0,0,0,0,0,90
Miranda,Atlético,0,0,0,0,0,0,0,0,90
"Moyà
 (GK)",Atlético,0,0,0,0,0,0,0,0,0
Siqueira,Atlético,0,0,0,0,0,0,0,0,0
Raúl García,Atlético,0,0,0,0,0,0,0,0,25
Jiménez,Atlético,0,0,0,0,0,0,0,0,0
Gabi,Atlético,0,0,0,0,0,0,0,0,44
Torres,Atlético,0,0,0,0,0,0,0,0,0
Giménez,Atlético,0,0,0,0,0,0,0,0,4
Diego Simeone,Atlético(COACH),0,0,0,0,0,0,0,0,0
"Subašić
 (GK)",Monaco,0,0,0,0,0,0,0,0,90
Fabinho,Monaco,0,0,0,0,0,0,0,0,90
Kurzawa,Monaco,0,0,0,0,0,0,0,0,90
Abdennour,Monaco,0,0,0,0,0,0,0,0,90
João Moutinho,Monaco,0,0,0,0,0,0,0,0,90
Bernardo Silva,Monaco,0,0,0,0,0,0,0,0,90
Carrasco,Monaco,0,0,0,0,0,0,0,0,87
Kondogbia,Monaco,0,0,0,0,0,0,0,0,90
Martial,Monaco,0,0,0,0,0,0,0,0,76
Raggi,Monaco,0,0,0,0,0,0,0,0,90
Toulalan,Monaco,0,0,0,0,0,0,0,0,46
"Stekelenburg
 (GK)",Monaco,0,0,0,0,0,0,0,0,0
Dirar,Monaco,0,0,0,0,0,0,0,0,0
Berbatov,Monaco,0,0,0,0,0,0,0,0,44
Matheus Carvalho,Monaco,0,0,0,0,0,0,0,0,3
Wallace,Monaco,0,0,0,0,0,0,0,0,0
Germain,Monaco,0,0,0,0,0,0,0,0,14
Elderson,Monaco,0,0,0,0,0,0,0,0,0
Leonardo Jardim,Monaco(COACH),0,0,0,0,0,0,0,0,0
"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,90
Chiellini,Juventus,0,0,0,0,0,0,0,0,90
Marchisio,Juventus,0,0,0,0,0,0,0,0,90
Morata,Juventus,0,0,0,0,0,0,0,0,69
Tévez,Juventus,0,0,0,0,0,0,0,0,90
Barzagli,Juventus,0,0,0,0,0,0,0,0,90
Bonucci,Juventus,0,0,0,0,0,0,0,0,90
Pirlo,Juventus,0,0,0,0,0,0,0,0,90
Vidal,Juventus,0,0,0,0,0,0,0,0,77
Lichtsteiner,Juventus,0,0,0,0,0,0,0,0,90
Evra,Juventus,0,0,0,0,0,0,0,0,89
"Storari
 (GK)",Juventus,0,0,0,0,0,0,0,0,0
Ogbonna,Juventus,0,0,0,0,0,0,0,0,0
Llorente,Juventus,0,0,0,0,0,0,0,0,21
Padoin,Juventus,0,0,0,0,0,0,0,0,1
Sturaro,Juventus,0,0,0,0,0,0,0,0,0
Matri,Juventus,0,0,0,0,0,0,0,0,0
Pereyra,Juventus,0,0,0,0,0,0,0,0,13
Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,90
Piqué,Barcelona,0,0,0,0,0,0,0,0,90
Rakitić,Barcelona,0,0,0,0,0,0,0,0,90
Sergio Busquets,Barcelona,0,0,0,0,0,0,0,0,55
Iniesta,Barcelona,0,0,0,1,0,0,0,0,46
Luis Suárez,Barcelona,0,0,0,0,0,0,0,0,75
Messi,Barcelona,0,0,0,0,0,0,0,0,90
Neymar,Barcelona,2,0,0,0,0,0,0,0,90
Mascherano,Barcelona,0,0,0,0,0,0,0,0,90
Jordi Alba,Barcelona,0,0,0,0,0,0,0,0,90
Dani Alves,Barcelona,0,0,0,1,0,0,0,0,90
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0
Xavi Hernández,Barcelona,0,0,0,0,0,0,0,0,44
Pedro Rodríguez,Barcelona,0,0,0,0,0,0,0,0,15
Rafinha,Barcelona,0,0,0,0,0,0,0,0,0
Bartra,Barcelona,0,0,0,0,0,0,0,0,0
Sergi Roberto,Barcelona,0,0,0,0,0,0,0,0,35
Adriano,Barcelona,0,0,0,0,0,0,0,0,0
Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0
"Sirigu
 (GK)",Paris,0,0,0,0,0,0,0,0,90
Cabaye,Paris,0,0,0,0,0,0,0,0,66
Marquinhos,Paris,0,0,0,0,0,0,0,0,90
Cavani,Paris,0,0,0,0,0,0,0,0,80
Ibrahimović,Paris,0,0,0,0,0,0,0,0,90
Matuidi,Paris,0,0,0,0,0,0,0,0,80
Maxwell,Paris,0,0,0,0,0,0,0,0,90
Van der Wiel,Paris,0,0,0,0,0,0,0,0,90
Verratti,Paris,0,0,0,0,0,0,0,0,90
Pastore,Paris,0,0,0,0,0,0,0,0,90
David Luiz,Paris,0,0,0,0,0,0,0,0,90
"Douchez
 (GK)",Paris,0,0,0,0,0,0,0,0,0
Camara,Paris,0,0,0,0,0,0,0,0,0
Moura,Paris,0,0,0,0,0,0,0,0,24
Bahebeck,Paris,0,0,0,0,0,0,0,0,0
Digne,Paris,0,0,0,0,0,0,0,0,0
Lavezzi,Paris,0,0,0,0,0,0,0,0,10
Rabiot,Paris,0,0,0,0,0,0,0,0,10
Laurent Blanc,Paris(COACH),0,0,0,0,0,0,0,0,0
"Neuer
 (GK)",Bayern,0,0,0,0,0,0,0,0,90
Xabi Alonso,Bayern,1,0,0,0,0,0,0,0,90
Thiago Alcántara,Bayern,1,0,0,1,0,0,0,0,90
Lewandowski,Bayern,2,0,0,0,0,0,0,0,90
Rafinha,Bayern,0,0,0,0,0,0,0,0,72
Boateng,Bayern,1,0,0,0,0,0,0,0,90
Bernat,Bayern,0,0,0,1,0,0,0,0,90
Götze,Bayern,0,0,0,0,0,0,0,0,86
Lahm,Bayern,0,0,0,0,0,0,0,0,90
Müller,Bayern,1,0,0,2,0,0,0,0,90
Badstuber,Bayern,0,0,0,1,0,0,0,0,90
"Reina
 (GK)",Bayern,0,0,0,0,0,0,0,0,0
Dante,Bayern,0,0,0,0,0,0,0,0,0
Pizarro,Bayern,0,0,0,0,0,0,0,0,0
Gaudino,Bayern,0,0,0,0,0,0,0,0,0
Rode,Bayern,0,0,0,0,0,0,0,0,18
Weiser,Bayern,0,0,0,0,0,0,0,0,4
Schweinsteiger,Bayern,0,0,0,0,0,0,0,0,0
Josep Guardiola,Bayern(COACH),0,0,0,0,0,0,0,0,0
"Fabiano
 (GK)",Porto,0,0,0,0,0,0,0,0,90
Martins Indi,Porto,0,0,0,0,0,0,0,0,90
Maicon,Porto,0,0,0,0,0,0,0,0,90
Marcano,Porto,0,0,0,0,0,0,0,0,90
Casemiro,Porto,0,0,0,0,0,0,0,0,90
Quaresma,Porto,0,0,0,0,0,0,0,0,46
Brahimi,Porto,0,0,0,0,0,0,0,0,67
Martínez,Porto,1,0,0,0,0,0,0,0,90
Reyes,Porto,0,0,0,0,0,0,0,0,33
Herrera,Porto,0,0,0,0,0,0,0,0,90
Óliver Torres,Porto,0,0,0,0,0,0,0,0,90
"Helton
 (GK)",Porto,0,0,0,0,0,0,0,0,0
Quintero,Porto,0,0,0,0,0,0,0,0,0
Evandro,Porto,0,0,0,1,0,0,0,0,23
Hernâni,Porto,0,0,0,0,0,0,0,0,0
Ricardo,Porto,0,0,0,0,0,0,0,0,57
Rúben Neves,Porto,0,0,0,0,0,0,0,0,44
Aboubakar,Porto,0,0,0,0,0,0,0,0,0
Julen Lopetegui,Porto(COACH),0,0,0,0,0,0,0,0,0
"Fabiano
 (GK)",Porto,0,0,0,0,0,0,0,0,90
Danilo,Porto,0,0,0,0,0,0,0,0,90
Martins Indi,Porto,0,0,0,0,0,0,0,0,90
Maicon,Porto,0,0,0,0,0,0,0,0,90
Casemiro,Porto,0,0,0,0,0,0,0,0,90
Quaresma,Porto,2,0,0,0,0,0,0,0,84
Brahimi,Porto,0,0,0,0,0,0,0,0,80
Martínez,Porto,1,0,0,0,0,0,0,0,90
Herrera,Porto,0,0,0,0,0,0,0,0,90
Alex Sandro,Porto,0,0,0,1,0,0,0,0,90
Óliver Torres,Porto,0,0,0,0,0,0,0,0,75
"Helton
 (GK)",Porto,0,0,0,0,0,0,0,0,0
Quintero,Porto,0,0,0,0,0,0,0,0,0
Reyes,Porto,0,0,0,0,0,0,0,0,0
Evandro,Porto,0,0,0,0,0,0,0,0,6
Hernâni,Porto,0,0,0,0,0,0,0,0,10
Rúben Neves,Porto,0,0,0,0,0,0,0,0,15
Aboubakar,Porto,0,0,0,0,0,0,0,0,0
Julen Lopetegui,Porto(COACH),0,0,0,0,0,0,0,0,0
"Neuer
 (GK)",Bayern,0,0,0,0,0,0,0,0,90
Xabi Alonso,Bayern,0,0,0,0,0,0,0,0,74
Dante,Bayern,0,0,0,0,0,0,0,0,90
Thiago Alcántara,Bayern,1,0,0,0,0,0,0,0,90
Lewandowski,Bayern,0,0,0,0,0,0,0,0,90
Rafinha,Bayern,0,0,0,0,0,0,0,0,90
Boateng,Bayern,0,0,0,1,0,0,0,0,90
Bernat,Bayern,0,0,0,0,0,0,0,0,90
Götze,Bayern,0,0,0,0,0,0,0,0,56
Lahm,Bayern,0,0,0,0,0,0,0,0,90
Müller,Bayern,0,0,0,0,0,0,0,0,90
"Reina
 (GK)",Bayern,0,0,0,0,0,0,0,0,0
"Lucic
 (GK)",Bayern,0,0,0,0,0,0,0,0,0
Pizarro,Bayern,0,0,0,0,0,0,0,0,0
Gaudino,Bayern,0,0,0,0,0,0,0,0,0
Rode,Bayern,0,0,0,0,0,0,0,0,34
Badstuber,Bayern,0,0,0,0,0,0,0,0,16
Weiser,Bayern,0,0,0,0,0,0,0,0,0
Josep Guardiola,Bayern(COACH),0,0,0,0,0,0,0,0,0
"Sirigu
 (GK)",Paris,0,0,0,0,0,0,0,0,90
Thiago Silva,Paris,0,0,0,0,0,0,0,0,21
Cabaye,Paris,0,0,0,0,0,0,0,0,90
Marquinhos,Paris,0,0,0,0,0,0,0,0,90
Cavani,Paris,0,0,0,0,0,0,0,0,90
Matuidi,Paris,0,0,0,0,0,0,0,0,90
Maxwell,Paris,0,0,0,0,0,0,0,0,90
Lavezzi,Paris,0,0,0,0,0,0,0,0,90
Van der Wiel,Paris,0,0,0,0,0,0,0,0,90
Rabiot,Paris,0,0,0,0,0,0,0,0,65
Pastore,Paris,0,0,0,0,0,0,0,0,90
"Douchez
 (GK)",Paris,0,0,0,0,0,0,0,0,0
Camara,Paris,0,0,0,0,0,0,0,0,0
Moura,Paris,0,0,0,0,0,0,0,0,25
Bahebeck,Paris,0,0,0,0,0,0,0,0,0
Digne,Paris,0,0,0,0,0,0,0,0,0
David Luiz,Paris,0,0,0,0,0,0,0,0,69
Kimpembe,Paris,0,0,0,0,0,0,0,0,0
Laurent Blanc,Paris(COACH),0,0,0,0,0,0,0,0,0
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,90
Montoya,Barcelona,0,0,0,0,0,0,0,0,80
Piqué,Barcelona,0,0,0,0,0,0,0,0,90
Rakitić,Barcelona,0,0,0,0,0,0,0,0,74
Sergio Busquets,Barcelona,0,0,0,0,0,0,0,0,90
Iniesta,Barcelona,0,0,0,0,0,0,0,0,53
Luis Suárez,Barcelona,2,0,0,0,0,0,0,0,90
Messi,Barcelona,0,0,0,1,0,0,0,0,90
Neymar,Barcelona,1,0,0,0,0,0,0,0,90
Mascherano,Barcelona,0,0,0,1,0,0,0,0,90
Jordi Alba,Barcelona,0,0,0,0,0,0,0,0,90
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0
Xavi Hernández,Barcelona,0,0,0,0,0,0,0,0,37
Pedro Rodríguez,Barcelona,0,0,0,0,0,0,0,0,0
Rafinha,Barcelona,0,0,0,0,0,0,0,0,0
Bartra,Barcelona,0,0,0,0,0,0,0,0,0
Adriano,Barcelona,0,0,0,0,0,0,0,0,10
Mathieu,Barcelona,0,0,0,0,0,0,0,0,16
Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0
"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,90
Chiellini,Juventus,0,0,0,0,0,0,0,0,90
Marchisio,Juventus,0,0,0,0,0,0,0,0,90
Morata,Juventus,0,0,0,0,0,0,0,0,83
Tévez,Juventus,0,0,0,0,0,0,0,0,90
Bonucci,Juventus,0,0,0,0,0,0,0,0,90
Pirlo,Juventus,0,0,0,0,0,0,0,0,74
Vidal,Juventus,1,0,0,0,0,0,0,0,90
Lichtsteiner,Juventus,0,0,0,0,0,0,0,0,90
Evra,Juventus,0,0,0,0,0,0,0,0,90
Pereyra,Juventus,0,0,0,0,0,0,0,0,87
"Storari
 (GK)",Juventus,0,0,0,0,0,0,0,0,0
Pepe,Juventus,0,0,0,0,0,0,0,0,0
Llorente,Juventus,0,0,0,0,0,0,0,0,0
Barzagli,Juventus,0,0,0,0,0,0,0,0,16
Padoin,Juventus,0,0,0,0,0,0,0,0,0
Sturaro,Juventus,0,0,0,0,0,0,0,0,3
Matri,Juventus,0,0,0,0,0,0,0,0,7
Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0
"Subašić
 (GK)",Monaco,0,0,0,0,0,0,0,0,90
Fabinho,Monaco,0,0,0,0,0,0,0,0,90
Kurzawa,Monaco,0,0,0,0,0,0,0,0,90
Abdennour,Monaco,0,0,0,0,0,0,0,0,90
Ricardo Carvalho,Monaco,0,0,0,0,0,0,0,0,90
Dirar,Monaco,0,0,0,0,0,0,0,0,51
João Moutinho,Monaco,0,0,0,0,0,0,0,0,90
Carrasco,Monaco,0,0,0,0,0,0,0,0,90
Kondogbia,Monaco,0,0,0,0,0,0,0,0,90
Martial,Monaco,0,0,0,0,0,0,0,0,87
Raggi,Monaco,0,0,0,0,0,0,0,0,71
"Stekelenburg
 (GK)",Monaco,0,0,0,0,0,0,0,0,0
Berbatov,Monaco,0,0,0,0,0,0,0,0,19
Matheus Carvalho,Monaco,0,0,0,0,0,0,0,0,3
Wallace,Monaco,0,0,0,0,0,0,0,0,0
Bernardo Silva,Monaco,0,0,0,0,0,0,0,0,39
Germain,Monaco,0,0,0,0,0,0,0,0,0
Elderson,Monaco,0,0,0,0,0,0,0,0,0
Leonardo Jardim,Monaco(COACH),0,0,0,0,0,0,0,0,0
