,Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
3937,Marlos,Shakhtar Donetsk,0,0,0,0,0,4,0,0,82
3938,Ordets,Shakhtar Donetsk,0,0,0,0,0,0,2,0,90
3939,Ferreyra,Shakhtar Donetsk,0,2,0,0,0,0,2,1,90
3940,Ismaily,Shakhtar Donetsk,0,0,0,0,2,2,1,0,90
3941,Rakits'kyy,Shakhtar Donetsk,0,0,0,0,1,0,0,0,90
3942,"Kudryk
 (GK)",Shakhtar Donetsk,0,0,0,0,0,0,0,0,0
3943,Khocholava,Shakhtar Donetsk,0,0,0,0,0,0,0,0,0
3944,Dentinho,Shakhtar Donetsk,0,0,0,0,0,0,0,1,8
3945,Alan Patrick,Shakhtar Donetsk,0,1,0,0,0,0,0,0,16
3946,Petriak,Shakhtar Donetsk,0,0,0,0,0,0,0,0,0
3947,Zubkov,Shakhtar Donetsk,0,0,0,0,0,0,0,0,0
3948,Kovalenko,Shakhtar Donetsk,0,0,0,0,0,0,0,0,0
3949,Paulo Fonseca,Shakhtar Donetsk(COACH),0,0,0,0,0,0,0,0,0
3950,"Bravo
 (GK)",Man. City,0,0,0,0,1,0,0,0,90
3951,Danilo,Man. City,0,1,0,0,3,1,1,0,90
3952,Stones,Man. City,0,0,0,0,1,0,0,0,90
3953,Gündoğan,Man. City,0,2,1,0,1,2,0,0,66
3954,Laporte,Man. City,0,0,0,0,1,0,0,0,90
3955,Sané,Man. City,0,0,0,0,0,5,1,0,90
3956,Bernardo Silva,Man. City,0,1,0,1,1,2,0,0,90
3957,Jesus,Man. City,1,1,1,0,1,0,1,2,90
3958,Zinchenko,Man. City,0,0,0,0,1,0,1,0,90
3959,Touré,Man. City,0,1,0,0,0,0,0,0,90
3960,Foden,Man. City,0,0,0,0,0,0,1,0,89
3961,"Ederson
 (GK)",Man. City,0,0,0,0,0,0,0,0,0
3962,Walker,Man. City,0,0,0,0,0,0,0,0,0
3963,Agüero,Man. City,0,0,0,0,0,0,0,0,0
3964,De Bruyne,Man. City,0,0,0,0,0,0,0,0,0
3965,Adarabioyo,Man. City,0,0,0,0,0,0,0,0,1
3966,Otamendi,Man. City,0,0,0,0,0,0,0,0,0
3967,Brahim Díaz,Man. City,0,1,1,0,0,1,0,1,24
3968,Josep Guardiola,Man. City(COACH),0,0,0,0,0,0,0,0,0
3969,"Vaclík
 (GK)",Basel,0,0,0,0,0,0,0,0,90
3970,Lacroix,Basel,0,0,0,0,3,0,1,0,90
3971,M. Lang,Basel,1,1,1,0,2,2,2,2,90
3972,F. Frei,Basel,0,0,0,0,3,0,2,0,90
3973,Zuffi,Basel,0,0,0,0,1,0,0,0,90
3974,Suchý,Basel,0,0,0,0,4,0,2,0,90
3975,Oberlin,Basel,0,1,0,0,0,0,0,0,74
3976,Dié,Basel,0,1,0,0,4,0,1,0,90
3977,Elyounoussi,Basel,1,1,1,1,0,0,1,1,90
3978,Riveros,Basel,0,2,1,1,3,1,1,0,90
3979,Bua,Basel,0,0,0,0,0,0,1,2,68
3980,"Salvi
 (GK)",Basel,0,0,0,0,0,0,0,0,0
3981,Van Wolfswinkel,Basel,0,0,0,0,0,0,0,0,16
3982,Stocker,Basel,0,0,0,0,1,0,0,1,22
3983,Al. Ajeti,Basel,0,0,0,0,0,0,0,0,0
3984,Manzambi,Basel,0,0,0,0,0,0,0,0,0
3985,Petretta,Basel,0,0,0,0,0,0,0,0,0
3986,Kaiser,Basel,0,0,0,0,0,0,0,0,0
3987,Raphael Wicky,Basel(COACH),0,0,0,0,0,0,0,0,0
3988,"Lloris
 (GK)",Tottenham,0,0,0,0,0,0,0,0,90
3989,Trippier,Tottenham,0,0,0,1,1,2,2,0,90
3990,Vertonghen,Tottenham,0,1,0,0,2,0,2,0,90
3991,Sánchez,Tottenham,0,0,0,0,2,0,2,0,90
3992,Son,Tottenham,1,7,3,0,0,3,3,1,90
3993,Kane,Tottenham,0,4,1,0,1,1,1,0,90
3994,Dier,Tottenham,0,2,1,0,0,0,1,0,74
3995,Dembélé,Tottenham,0,0,0,0,2,0,4,0,90
3996,Alli,Tottenham,0,2,1,0,0,0,2,0,86
3997,Eriksen,Tottenham,0,6,0,0,0,3,0,0,90
3998,Davies,Tottenham,0,0,0,0,1,11,3,0,90
3999,"Vorm
 (GK)",Tottenham,0,0,0,0,0,0,0,0,0
4000,Rose,Tottenham,0,0,0,0,0,0,0,0,0
4001,Lamela,Tottenham,0,0,0,0,0,1,0,0,16
4002,Wanyama,Tottenham,0,0,0,0,0,0,0,0,0
