Players,Teams,Started_at,Finished_at,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides
James Rodríguez,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kovačić,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jesé,Real Madrid,46',Finished,Not scored,1,0,0,0,0,1,0
Isco,Real Madrid,90',Finished,Not scored,0,0,0,0,0,0,0
Danilo,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Zinédine Zidane,Real Madrid(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Ederson
 (GK)",Benfica,0',Finished,Not scored,0,0,0,0,0,0,0
Fejsa,Benfica,0',Finished,Not scored,0,0,0,2,0,1,0
Jiménez,Benfica,0',Finished,Scored at  27,2,2,0,0,0,0,0
Lindelöf,Benfica,0',Finished,Not scored,0,0,0,0,0,0,0
Salvio,Benfica,0',Substituted at 68',Not scored,1,0,0,3,1,0,0
Eliseu,Benfica,0',Substituted at 88',Not scored,1,0,1,0,2,0,0
Pizzi,Benfica,0',Substituted at 58',Not scored,0,0,0,0,3,0,2
Jardel,Benfica,0',Finished,Not scored,0,0,0,2,0,0,0
André Almeida,Benfica,0',Finished,Not scored,1,1,0,1,4,5,0
Carcela,Benfica,0',Finished,Not scored,0,0,0,1,2,1,0
Renato Sanches,Benfica,0',Finished,Not scored,0,0,0,0,0,1,0
"Paulo Lopes
 (GK)",Benfica,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Luisão,Benfica,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Samaris,Benfica,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Gonçalo Guedes,Benfica,58',Finished,Not scored,1,0,0,1,0,1,0
Talisca,Benfica,68',Finished,Scored at  76,2,1,0,0,0,0,0
Jović,Benfica,88',Finished,Not scored,1,1,0,0,0,0,0
Semedo,Benfica,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Rui Vitória,Benfica(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Neuer
 (GK)",Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Thiago Alcántara,Bayern,0',Finished,Not scored,1,0,0,0,1,2,1
Ribéry,Bayern,0',Substituted at 90'+2,Not scored,2,0,0,0,5,0,0
Javi Martínez,Bayern,0',Finished,Not scored,1,1,1,3,0,2,0
Douglas Costa,Bayern,0',Finished,Not scored,1,0,0,0,9,0,1
Xabi Alonso,Bayern,0',Substituted at 90',Not scored,0,0,0,1,2,0,0
Lahm,Bayern,0',Finished,Not scored,1,0,0,5,3,0,0
Vidal,Bayern,0',Finished,Scored at  38,5,4,0,0,1,3,0
Müller,Bayern,0',Substituted at 84',Scored at  52,2,1,0,0,1,1,0
Alaba,Bayern,0',Finished,Not scored,1,0,0,1,3,0,1
Kimmich,Bayern,0',Finished,Not scored,0,0,0,0,0,1,0
"Ulreich
 (GK)",Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Lewandowski,Bayern,84',Finished,Not scored,1,1,0,1,0,1,0
Rafinha,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Bernat,Bayern,90',Finished,Not scored,0,0,0,0,0,0,0
Götze,Bayern,90'+2,Finished,Not scored,0,0,0,0,0,0,0
Rode,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Coman,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Josep Guardiola,Bayern(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Oblak
 (GK)",Atlético,0',Finished,Not scored,0,0,0,1,0,0,0
Godín,Atlético,0',Finished,Not scored,0,0,0,1,0,3,0
Filipe Luís,Atlético,0',Finished,Not scored,0,0,0,1,1,1,0
Koke,Atlético,0',Finished,Not scored,1,0,0,1,3,5,0
Griezmann,Atlético,0',Substituted at 90',"Scored at  36, 88 (P)",4,4,0,0,0,1,0
Fernández,Atlético,0',Substituted at 90'+3,Not scored,0,0,0,2,0,2,0
Gabi,Atlético,0',Finished,Not scored,1,0,0,5,0,3,0
Saúl Ñíguez,Atlético,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Hernández,Atlético,0',Finished,Not scored,0,0,0,1,0,0,0
Juanfran,Atlético,0',Finished,Not scored,0,0,0,5,1,3,0
Carrasco,Atlético,0',Substituted at 74',Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
"Moyà
 (GK)",Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kranevitter,Atlético,Did not play,Not applicable,Not scored,1,0,1,2,2,1,0
Savić,Atlético,90'+3,Finished,Not scored,0,0,0,0,0,0,0
Correa,Atlético,90',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Gámez,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Thomas,Atlético,74',Finished,Not scored,0,0,0,0,0,0,0
Vietto,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Diego Simeone,Atlético(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Ter Stegen
 (GK)",Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Piqué,Barcelona,0',Finished,Not scored,0,0,0,2,0,1,0
Rakitić,Barcelona,0',Substituted at 64',Not scored,0,0,0,2,0,1,0
Sergio Busquets,Barcelona,0',Finished,Not scored,1,0,0,2,0,0,0
Dani Alves,Barcelona,0',Substituted at 64',Not scored,1,0,0,0,2,1,0
Iniesta,Barcelona,0',Finished,Not scored,1,1,0,0,3,1,0
Luis Suárez,Barcelona,0',Finished,Not scored,2,2,0,0,1,1,0
Messi,Barcelona,0',Finished,Not scored,3,0,0,0,1,0,0
Neymar,Barcelona,0',Finished,Not scored,1,1,0,0,5,3,0
Mascherano,Barcelona,0',Finished,Not scored,1,0,0,2,1,1,0
Jordi Alba,Barcelona,0',Finished,Not scored,2,0,0,1,2,1,0
"Bravo
 (GK)",Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Douglas,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Arda Turan,Barcelona,64',Finished,Not scored,1,0,0,0,2,0,0
Bartra,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Munir,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Sergi Roberto,Barcelona,64',Finished,Not scored,0,0,0,1,1,0,0
Adriano,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Luis Enrique,Barcelona(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Navas
 (GK)",Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Pepe,Real Madrid,0',Finished,Not scored,0,0,0,0,0,1,0
Ramos,Real Madrid,0',Finished,Not scored,3,0,0,5,1,0,0
Ronaldo,Real Madrid,0',Finished,"Scored at  15, 17, 77",5,3,0,0,2,1,0
Kroos,Real Madrid,0',Finished,Not scored,0,0,1,0,11,0,0
Benzema,Real Madrid,0',Substituted at 84',Not scored,4,2,0,0,2,0,3
Bale,Real Madrid,0',Finished,Not scored,3,1,0,1,1,1,1
Marcelo,Real Madrid,0',Finished,Not scored,0,0,0,0,5,1,1
Casemiro,Real Madrid,0',Finished,Not scored,0,0,0,1,0,0,0
Carvajal,Real Madrid,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Modrić,Real Madrid,0',Substituted at 90'+2,Not scored,0,0,0,3,4,2,0
"Casilla
 (GK)",Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Varane,Real Madrid,90'+2,Finished,Not scored,0,0,1,2,3,4,0
James Rodríguez,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Lucas Vázquez,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jesé,Real Madrid,84',Finished,Not scored,1,1,0,0,0,0,0
Isco,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Danilo,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Zinédine Zidane,Real Madrid(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Benaglio
 (GK)",Wolfsburg,0',Finished,Not scored,0,0,0,0,0,0,0
Vieirinha,Wolfsburg,0',Finished,Not scored,2,0,0,1,4,2,0
Draxler,Wolfsburg,0',Substituted at 32',Not scored,0,0,0,1,2,0,0
Henrique,Wolfsburg,0',Substituted at 73',Not scored,1,0,0,0,1,2,1
Schürrle,Wolfsburg,0',Finished,Not scored,2,0,0,0,1,0,0
Dante,Wolfsburg,0',Finished,Not scored,1,1,0,2,0,1,0
Luiz Gustavo,Wolfsburg,0',Finished,Not scored,2,2,0,2,0,1,0
Guilavogui,Wolfsburg,0',Substituted at 80',Not scored,1,0,0,3,0,1,0
Naldo,Wolfsburg,0',Finished,Not scored,0,0,0,1,0,0,1
Arnold,Wolfsburg,0',Finished,Not scored,0,0,0,0,1,1,0
Rodríguez,Wolfsburg,0',Finished,Not scored,0,0,0,1,2,0,1
"Casteels
 (GK)",Wolfsburg,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Schäfer,Wolfsburg,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Caligiuri,Wolfsburg,73',Finished,Not scored,0,0,0,0,1,0,0
Kruse,Wolfsburg,32',Finished,Not scored,0,0,0,0,2,1,0
Dost,Wolfsburg,80',Finished,Not scored,0,0,0,0,0,0,0
Träsch,Wolfsburg,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Knoche,Wolfsburg,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Dieter Hecking,Wolfsburg(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Hart
 (GK)",Man. City,0',Finished,Not scored,0,0,0,0,0,0,0
Sagna,Man. City,0',Finished,Not scored,0,0,0,0,1,0,0
Fernando,Man. City,0',Finished,Not scored,2,0,1,3,0,3,0
Agüero,Man. City,0',Substituted at 90'+3,Not scored,4,0,0,0,0,3,2
Jesús Navas,Man. City,0',Finished,Not scored,1,0,0,0,5,0,0
De Bruyne,Man. City,0',Substituted at 84',Scored at  76,1,1,0,1,7,0,0
Mangala,Man. City,0',Finished,Not scored,0,0,0,2,0,1,0
David Silva,Man. City,0',Substituted at 87',Not scored,0,0,0,0,4,0,0
Clichy,Man. City,0',Finished,Not scored,0,0,0,1,2,3,0
Fernandinho,Man. City,0',Finished,Not scored,0,0,0,4,0,6,0
Otamendi,Man. City,0',Finished,Not scored,0,0,0,1,0,1,0
"Caballero
 (GK)",Man. City,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Zabaleta,Man. City,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kolarov,Man. City,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Bony,Man. City,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Delph,Man. City,87',Finished,Not scored,0,0,0,0,0,0,0
Touré,Man. City,84',Finished,Not scored,1,0,0,0,0,1,0
Iheanacho,Man. City,90'+3,Finished,Not scored,0,0,0,0,0,0,0
Manuel Pellegrini,Man. City(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Trapp
 (GK)",Paris,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Thiago Silva,Paris,0',Finished,Not scored,1,1,0,2,1,0,0
Marquinhos,Paris,0',Finished,Not scored,1,0,0,5,0,1,0
Thiago Motta,Paris,0',Substituted at 44',Not scored,0,0,0,0,0,1,0
Cavani,Paris,0',Finished,Not scored,1,1,0,1,0,2,0
Ibrahimović,Paris,0',Finished,Not scored,0,0,0,0,2,1,0
Di María,Paris,0',Finished,Not scored,1,0,0,0,5,0,0
Maxwell,Paris,0',Finished,Not scored,0,0,0,2,0,0,1
Aurier,Paris,0',Substituted at 61',Not scored,0,0,0,2,0,0,0
Van der Wiel,Paris,0',Finished,Not scored,0,0,0,0,5,2,0
Rabiot,Paris,0',Finished,Not scored,0,0,0,0,1,4,0
"Sirigu
 (GK)",Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kimpembe,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Stambouli,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Moura,Paris,44',Finished,Not scored,0,0,0,0,4,1,0
Kurzawa,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pastore,Paris,61',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Ongenda,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Laurent Blanc,Paris(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Trapp
 (GK)",Paris,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Thiago Silva,Paris,0',Finished,Not scored,0,0,0,4,0,1,0
Thiago Motta,Paris,0',Finished,Not scored,1,0,0,1,0,0,0
Cavani,Paris,0',Finished,Not scored,3,1,0,2,1,0,1
Ibrahimović,Paris,0',Finished,Scored at  41,7,3,0,0,1,1,1
Di María,Paris,0',Finished,Not scored,3,0,0,0,9,0,0
Matuidi,Paris,0',Finished,Not scored,0,0,0,3,4,3,0
Maxwell,Paris,0',Finished,Not scored,0,0,0,3,4,0,0
Aurier,Paris,0',Substituted at 78',Not scored,0,0,0,3,2,0,0
Rabiot,Paris,0',Substituted at 78',Scored at  59,1,1,0,0,1,0,0
David Luiz,Paris,0',Finished,Not scored,0,0,0,5,0,1,0
"Sirigu
 (GK)",Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Stambouli,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Marquinhos,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Moura,Paris,78',Finished,Not scored,1,0,0,0,0,0,0
Kurzawa,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Van der Wiel,Paris,78',Finished,Not scored,0,0,0,1,0,0,0
Augustin,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Laurent Blanc,Paris(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Hart
 (GK)",Man. City,0',Finished,Not scored,0,0,0,0,0,0,0
Sagna,Man. City,0',Finished,Not scored,0,0,0,2,1,2,0
Fernando,Man. City,0',Finished,Not scored,0,0,0,1,0,2,0
Agüero,Man. City,0',Substituted at 90'+3,Not scored,1,0,0,0,1,1,1
Jesús Navas,Man. City,0',Finished,Not scored,1,0,0,2,5,0,0
De Bruyne,Man. City,0',Substituted at 77',Scored at  38,2,1,0,0,4,0,0
Mangala,Man. City,0',Finished,Not scored,0,0,0,1,0,1,0
David Silva,Man. City,0',Substituted at 88',Not scored,3,1,0,1,2,2,0
Clichy,Man. City,0',Finished,Not scored,0,0,0,7,2,1,0
Fernandinho,Man. City,0',Finished,Scored at  72,3,1,1,4,0,3,0
Otamendi,Man. City,0',Finished,Not scored,1,0,0,4,0,1,0
"Caballero
 (GK)",Man. City,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Zabaleta,Man. City,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kolarov,Man. City,90'+3,Finished,Not scored,0,0,0,0,0,0,0
Bony,Man. City,88',Finished,Not scored,0,0,0,0,0,0,0
Delph,Man. City,77',Finished,Not scored,0,0,0,0,0,2,0
Demichelis,Man. City,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Iheanacho,Man. City,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Manuel Pellegrini,Man. City(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Benaglio
 (GK)",Wolfsburg,0',Finished,Not scored,0,0,0,0,0,0,0
Vieirinha,Wolfsburg,0',Finished,Not scored,0,0,0,2,1,1,0
Draxler,Wolfsburg,0',Substituted at 90'+3,Not scored,2,0,0,0,2,2,0
Henrique,Wolfsburg,0',Substituted at 80',Not scored,3,2,1,2,1,1,0
Schürrle,Wolfsburg,0',Substituted at 85',Not scored,2,1,0,0,0,3,0
Dante,Wolfsburg,0',Finished,Not scored,0,0,0,1,0,0,0
Luiz Gustavo,Wolfsburg,0',Finished,Not scored,0,0,0,1,0,1,0
Guilavogui,Wolfsburg,0',Finished,Not scored,0,0,0,1,0,1,0
Naldo,Wolfsburg,0',Finished,Not scored,0,0,0,3,0,1,0
Arnold,Wolfsburg,0',Finished,Scored at  25,1,1,0,0,1,2,0
Rodríguez,Wolfsburg,0',Finished,Scored at  18 (P),1,1,0,2,1,0,0
"Casteels
 (GK)",Wolfsburg,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Schäfer,Wolfsburg,90'+3,Finished,Not scored,0,0,0,0,0,0,0
Ascues,Wolfsburg,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kruse,Wolfsburg,85',Finished,Not scored,1,1,0,0,0,0,0
Dost,Wolfsburg,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Träsch,Wolfsburg,80',Finished,Not scored,0,0,0,0,1,1,0
Knoche,Wolfsburg,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Dieter Hecking,Wolfsburg(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Navas
 (GK)",Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Pepe,Real Madrid,0',Finished,Not scored,0,0,0,2,0,0,0
Ramos,Real Madrid,0',Finished,Not scored,0,0,0,3,0,1,0
Ronaldo,Real Madrid,0',Finished,Not scored,6,1,0,0,1,0,2
Kroos,Real Madrid,0',Substituted at 85',Not scored,3,1,0,1,5,1,0
Benzema,Real Madrid,0',Substituted at 41',Not scored,2,1,0,0,0,0,2
Bale,Real Madrid,0',Finished,Not scored,5,0,0,0,10,0,3
Marcelo,Real Madrid,0',Finished,Not scored,2,0,0,0,2,1,0
Casemiro,Real Madrid,0',Finished,Not scored,2,0,0,2,0,2,0
Modrić,Real Madrid,0',Substituted at 64',Not scored,0,0,0,1,1,0,0
Danilo,Real Madrid,0',Finished,Not scored,0,0,0,0,3,0,0
"Casilla
 (GK)",Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Nacho,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
James Rodríguez,Real Madrid,85',Finished,Not scored,0,0,0,0,0,0,0
Carvajal,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Lucas Vázquez,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jesé,Real Madrid,41',Finished,Not scored,1,0,0,0,0,2,0
Isco,Real Madrid,64',Finished,Not scored,0,0,0,0,0,1,0
Zinédine Zidane,Real Madrid(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Ter Stegen
 (GK)",Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Piqué,Barcelona,0',Finished,Not scored,0,0,0,2,0,0,0
Rakitić,Barcelona,0',Substituted at 63',Not scored,1,0,0,3,0,2,0
Sergio Busquets,Barcelona,0',Substituted at 80',Not scored,0,0,0,2,0,2,0
Dani Alves,Barcelona,0',Finished,Not scored,0,0,1,0,10,4,0
Iniesta,Barcelona,0',Substituted at 83',Not scored,1,0,0,0,3,1,0
Luis Suárez,Barcelona,0',Finished,"Scored at  63, 74",3,2,0,1,0,1,2
Messi,Barcelona,0',Finished,Not scored,6,1,0,0,0,0,0
Neymar,Barcelona,0',Finished,Not scored,6,1,0,1,1,3,0
Mascherano,Barcelona,0',Finished,Not scored,1,1,0,3,0,2,0
Jordi Alba,Barcelona,0',Finished,Not scored,1,0,1,3,6,1,1
"Bravo
 (GK)",Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Arda Turan,Barcelona,83',Finished,Not scored,0,0,0,0,0,0,0
Rafinha,Barcelona,63',Finished,Not scored,2,0,0,3,1,2,0
Bartra,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Munir,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Sergi Roberto,Barcelona,80',Finished,Not scored,0,0,0,0,0,1,0
Vermaelen,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Luis Enrique,Barcelona(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Oblak
 (GK)",Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Godín,Atlético,0',Finished,Not scored,0,0,0,3,0,1,0
Filipe Luís,Atlético,0',Finished,Not scored,1,0,0,3,0,1,0
Koke,Atlético,0',Finished,Not scored,0,0,1,1,3,2,0
Griezmann,Atlético,0',Substituted at 76',Not scored,3,1,0,1,0,1,0
Torres,Atlético,0',Finished,Scored at  25,1,1,0,1,1,3,0
Gabi,Atlético,0',Finished,Not scored,0,0,0,0,0,3,0
Saúl Ñíguez,Atlético,0',Substituted at 90',Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Hernández,Atlético,0',Finished,Not scored,0,0,0,3,0,1,0
Juanfran,Atlético,0',Finished,Not scored,0,0,0,2,0,2,0
Carrasco,Atlético,0',Substituted at 53',Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
"Moyà
 (GK)",Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kranevitter,Atlético,Did not play,Not applicable,Not scored,0,0,0,3,0,1,0
Fernández,Atlético,53',Finished,Not scored,1,0,0,1,0,1,0
Correa,Atlético,90',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Gámez,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Thomas,Atlético,76',Finished,Not scored,0,0,0,0,0,0,0
Vietto,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Diego Simeone,Atlético(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Neuer
 (GK)",Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Thiago Alcántara,Bayern,0',Finished,Not scored,0,0,0,6,0,0,1
Ribéry,Bayern,0',Finished,Not scored,3,1,0,1,12,1,2
Lewandowski,Bayern,0',Finished,Not scored,5,2,0,0,0,1,1
Douglas Costa,Bayern,0',Substituted at 70',Not scored,2,1,0,1,3,2,0
Bernat,Bayern,0',Finished,Not scored,2,0,1,0,4,3,0
Lahm,Bayern,0',Finished,Not scored,0,0,0,1,2,0,0
Vidal,Bayern,0',Finished,Scored at  2,3,1,0,0,0,4,1
Müller,Bayern,0',Substituted at 85',Not scored,1,1,0,2,2,0,0
Alaba,Bayern,0',Finished,Not scored,0,0,0,2,0,0,0
Kimmich,Bayern,0',Substituted at 60',Not scored,0,0,0,0,0,0,0
"Ulreich
 (GK)",Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Javi Martínez,Bayern,60',Finished,Not scored,0,0,0,0,0,0,0
Rafinha,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Xabi Alonso,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Götze,Bayern,85',Finished,Not scored,0,0,0,0,0,0,0
Rode,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Coman,Bayern,70',Finished,Not scored,0,0,0,0,3,0,0
Josep Guardiola,Bayern(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Ederson
 (GK)",Benfica,0',Finished,Not scored,0,0,0,1,0,0,0
Fejsa,Benfica,0',Finished,Not scored,0,0,0,1,0,3,0
Gaitán,Benfica,0',Finished,Not scored,1,0,0,0,4,1,0
Mitroglou,Benfica,0',Substituted at 70',Not scored,3,0,0,0,1,0,1
